SZ000090	深 天 健	

SZ300164	通源石油	

SH600080	金花股份	

SH600686	金龙汽车	

SZ000553	沙隆达Ａ	

SZ000028	国药一致	

SZ002235	安妮股份	

SH603002	宏昌电子	

SH600495	晋西车轴	

SZ002146	荣盛发展	

SH600724	宁波富达	

SZ000698	沈阳化工	

SZ002306	湘鄂情		

SH601607	上海医药	

SZ000926	福星股份	

SZ002678	珠江钢琴	

SZ000501	鄂武商Ａ	

SZ300113	顺网科技	

SZ002142	宁波银行	

SH600016	XD民生银	

SH601186	中国铁建	

SH601111	中国国航	

SH600137	浪莎股份	

SH601006	大秦铁路	

SH601857	中国石油	

SZ002302	西部建设	

SH600802	福建水泥	

SH600050	中国联通	

SZ300147	香雪制药	

SZ000923	河北宣工	

SH600089	特变电工	

SZ300023	宝德股份	

SZ002414	高德红外	

SZ300188	美亚柏科	

SH600315	上海家化	

SZ300006	莱美药业	

SH600166	福田汽车	

SH600578	京能热电	

SZ300172	中电环保	

SZ002514	宝馨科技	

SZ300111	向日葵		

SH600766	园城黄金	

SH600117	西宁特钢	

SH600497	驰宏锌锗	

SH600223	鲁商置业	

SZ002256	彩虹精化	

SZ300213	佳讯飞鸿	

SZ000421	南京中北	

SH600697	欧亚集团	

SZ002469	三维工程	

SH600790	轻纺城		

SH600821	津劝业		

SZ000425	徐工机械	

SZ300255	常山药业	

SZ002588	史丹利		

SH600873	梅花集团	

SZ300038	梅泰诺		

SH600321	国栋建设	

SH600177	雅戈尔		

SH600228	昌九生化	

SZ002496	辉丰股份	

SH600021	上海电力	

SZ002062	宏润建设	

SH600240	华业地产	

SZ002156	通富微电	

SH600600	青岛啤酒	

SH600739	辽宁成大	

SZ000777	中核科技	

SH600519	贵州茅台	

SH600289	亿阳信通	

SZ002064	华峰氨纶	

SH600216	浙江医药	

SZ002488	金固股份	

SH600056	中国医药	

SH600517	置信电气	

SZ000878	云南铜业	

SZ000629	攀钢钒钛	

SH601888	中国国旅	

SZ002703	浙江世宝	

SH600726	华电能源	

SH600115	东方航空	

SZ002041	登海种业	

SZ300221	银禧科技	

SH600377	宁沪高速	

SZ000609	绵世股份	

SZ300220	金运激光	

SZ000918	嘉凯城		

SH600748	上实发展	

SZ000662	索芙特		

SH600185	格力地产	

SZ300083	劲胜股份	

SZ000597	东北制药	

SZ000786	北新建材	

SH600269	赣粤高速	

SZ000018	*ST中冠A	

SZ000669	金鸿能源	

SH600869	三普药业	

SZ000715	中兴商业	

SZ002482	广田股份	

SH600266	北京城建	

SZ000663	永安林业	

SH600236	桂冠电力	

SH600674	川投能源	

SZ002552	宝鼎重工	

SH600599	熊猫烟花	

SZ000096	广聚能源	

SZ002069	獐 子 岛	

SH600568	中珠控股	

SH601328	交通银行	

SH600028	中国石化	

SZ000040	宝安地产	

SZ000893	东凌粮油	

SH600085	同仁堂		

SH601139	深圳燃气	

SZ000638	万方发展	

SZ000933	神火股份	

SZ002384	东山精密	

SZ002541	鸿路钢构	

SH600397	安源煤业	

SZ002237	恒邦股份	

SH600048	保利地产	

SH600806	昆明机床	

SZ002631	德尔家居	

SH600825	新华传媒	

SZ002250	联化科技	

SH600239	云南城投	

SH601601	中国太保	

SH600371	万向德农	

SZ002055	得润电子	

SZ000593	大通燃气	

SH600608	上海科技	

SH600678	四川金顶	

SZ002471	中超电缆	

SH600593	大连圣亚	

SH600461	洪城水业	

SZ002479	富春环保	

SH600803	威远生化	

SH600509	天富热电	

SZ000809	铁岭新城	

SZ002609	捷顺科技	

SZ000538	云南白药	

SZ000801	四川九洲	

SZ002596	海南瑞泽	

SH601788	光大证券	

SZ002050	三花股份	

SZ002329	皇氏乳业	

SH601628	中国人寿	

SZ300293	蓝英装备	

SZ002049	同方国芯	

SZ002661	克明面业	

SZ002038	双鹭药业	

SZ000792	盐湖股份	

SZ300178	腾邦国际	

SZ002391	长青股份	

SZ300079	数码视讯	

SZ002053	云南盐化	

SZ000537	广宇发展	

SZ000860	顺鑫农业	

SZ002348	高乐股份	

SZ002663	普邦园林	

SZ000602	金马集团	

SZ000089	深圳机场	

SZ000935	四川双马	

SZ000931	中 关 村	

SZ002051	中工国际	

SZ000667	名流置业	

SZ002103	广博股份	

SZ002024	苏宁云商	

SZ300307	慈星股份	

SZ000830	鲁西化工	

SZ002003	伟星股份	

SZ002242	九阳股份	

SZ000616	亿城股份	

SZ002317	众生药业	

SZ000897	津滨发展	

SZ000930	中粮生化	

SZ300187	永清环保	

SZ000965	天保基建	

SZ000863	三湘股份	

SZ300184	力源信息	

SH600795	国电电力	

SH601928	凤凰传媒	

SH600671	天目药业	

SH601618	中国中冶	

SH600020	中原高速	

SH600975	新五丰		

SH601518	吉林高速	

SH600033	福建高速	

SH601880	大连港		

SH600068	葛洲坝		

SH600018	上港集团	

SH600516	方大炭素	

SH600759	正和股份	

SH601333	广深铁路	

SH600029	南方航空	

SH601107	四川成渝	

SH601018	宁波港		

SH600165	新日恒力	

SH600551	时代出版	

SH600019	宝钢股份	

SH600287	江苏舜天	

SH601899	紫金矿业	

SZ300244	迪安诊断	

SZ002527	新时达		

SZ000705	浙江震元	

SZ000716	南方食品	

SH603077	和邦股份	

SH600668	尖峰集团	

SZ002546	新联电子	

SH600890	中房股份	

SZ002286	保龄宝		

SZ002347	泰尔重工	

SH600351	亚宝药业	

SH600153	建发股份	

SZ002032	苏 泊 尔	

SZ300115	长盈精密	

SH600984	建设机械	

SZ000049	德赛电池	

SZ300297	蓝盾股份	

SH601992	金隅股份	

SH600055	华润万东	

SH600143	金发科技	

SH600161	天坛生物	

SH600219	南山铝业	

SZ000517	荣安地产	

SZ002634	棒杰股份	

SH600889	南京化纤	

SH600183	生益科技	

SZ000511	银基发展	

SZ002040	南 京 港	

SZ000622	岳阳恒立	

SZ000008	宝利来		

SH600570	恒生电子	

SZ000983	西山煤电	

SZ000950	建峰化工	

SH600082	海泰发展	

SH600422	昆明制药	

SH600642	申能股份	

SZ002253	川大智胜	

SZ000921	海信科龙	

SH600695	大江股份	

SH600565	迪马股份	

SH600778	友好集团	

SH600648	外高桥		

SZ002440	闰土股份	

SH600156	华升股份	

SH600673	东阳光铝	

SZ002287	奇正藏药	

SH601608	中信重工	

SH600480	凌云股份	

SH600782	新钢股份	

SH601179	中国西电	

SH601600	中国铝业	

SH600665	天地源		

SH600448	华纺股份	

SH600149	廊坊发展	

SH600246	万通地产	

SZ300202	聚龙股份	

SZ000568	泸州老窖	

SH600107	美尔雅		

SZ300288	朗玛信息	

SZ002159	三特索道	

SH600548	深高速		

SZ300245	天玑科技	

SH600535	天士力		

SZ000818	方大化工	

SZ000898	*ST鞍钢		

SZ000157	中联重科	

SH601318	中国平安	

SH600467	好当家		

SZ002244	滨江集团	

SH601688	华泰证券	

SH600865	百大集团	

SH600094	大名城		

SH600717	天津港		

SZ000655	金岭矿业	

SH600716	凤凰股份	

SZ000952	广济药业	

SZ000032	深桑达Ａ	

SZ000887	中鼎股份	

SZ000531	穗恒运Ａ	

SZ300180	华峰超纤	

SZ002698	博实股份	

SH600765	中航重机	

SZ002247	帝龙新材	

SZ002345	潮宏基		

SZ002682	龙洲股份	

SH600518	康美药业	

SH600348	阳泉煤业	

SZ000506	中润资源	

SZ000612	焦作万方	

SZ002595	豪迈科技	

SZ000573	粤宏远Ａ	

SH600196	复星医药	

SZ002196	方正电机	

SH601118	海南橡胶	

SH600643	爱建股份	

SH600187	国中水务	

SH600663	陆家嘴		

SZ002465	海格通信	

SH601106	中国一重	

SH600999	招商证券	

SZ002020	京新药业	

SZ000959	首钢股份	

SZ002677	浙江美大	

SH600894	广日股份	

SH600706	曲江文旅	

SZ002035	华帝股份	

SZ002415	海康威视	

SZ300334	津膜科技	

SH600491	龙元建设	

SH600031	三一重工	

SH600847	万里股份	

SH600526	菲达环保	

SZ002459	天业通联	

SZ000668	荣丰控股	

SZ002202	金风科技	

SH600703	三安光电	

SZ002111	威海广泰	

SH600644	乐山电力	

SH600079	人福医药	

SZ002437	誉衡药业	

SH600895	张江高科	

SH600872	中炬高新	

SZ300161	华中数控	

SZ300063	天龙集团	

SH600113	浙江东日	

SH601113	华鼎锦纶	

SZ000606	青海明胶	

SH600237	铜峰电子	

SZ002048	宁波华翔	

SZ000803	金宇车城	

SZ002694	顾地科技	

SZ002262	恩华药业	

SH600329	中新药业	

SH600557	康缘药业	

SZ002215	诺 普 信	

SH600744	华银电力	

SZ300092	科新机电	

SH600176	中国玻纤	

SZ002449	国星光电	

SZ000982	中银绒业	

SZ002357	富临运业	

SZ300024	机器人		

SZ000620	新华联		

SH600500	中化国际	

SZ300061	康耐特		

SZ002015	霞客环保	

SH600658	电子城		

SZ300033	同花顺		

SH600657	信达地产	

SZ000858	五 粮 液	

SZ002034	美 欣 达	

SZ002394	联发股份	

SH600675	中华企业	

SZ002566	益盛药业	

SH600650	锦江投资	

SZ002110	三钢闽光	

SH600052	浙江广厦	

SH600986	科达股份	

SH600592	龙溪股份	

SH600350	山东高速	

SH601678	滨化股份	

SH600210	紫江企业	

SZ002513	蓝丰生化	

SH600195	中牧股份	

SH600173	卧龙地产	

SH600006	东风汽车	

SH600136	道博股份	

SZ002065	东华软件	

SH601588	北辰实业	

SH601566	九牧王		

SZ002385	大北农		

SZ002676	顺威股份	

SZ300241	瑞丰光电	

SZ002371	七星电子	

SH600363	联创光电	

SH600243	青海华鼎	

SH601991	大唐发电	

SZ000007	零七股份	

SH601233	桐昆股份	

SZ002448	中原内配	

SZ002100	天康生物	

SH600582	天地科技	

SH600493	凤竹纺织	

SZ002571	德力股份	

SZ002311	海大集团	

SH600854	春兰股份	

SH600638	新黄浦		

SH600159	大龙地产	

SZ000807	云铝股份	

SH600637	百视通		

SZ000678	襄阳轴承	

SH600755	厦门国贸	

SH601100	恒立油缸	

SZ000876	新 希 望	

SH600508	上海能源	

SH601311	骆驼股份	

SH600747	大连控股	

SZ000712	锦龙股份	

SZ000513	丽珠集团	

SZ000488	晨鸣纸业	

SZ002002	鸿达兴业	

SH600861	北京城乡	

SH600736	苏州高新	

SZ002544	杰赛科技	

SH600489	中金黄金	

SH600560	金自天正	

SZ000905	厦门港务	

SZ300227	光韵达		

SZ002027	七喜控股	

SZ002325	洪涛股份	

SH600017	日照港		

SZ000768	中航飞机	

SZ002150	江苏通润	

SH600463	空港股份	

SH600333	长春燃气	

SZ002696	百洋股份	

SZ300199	翰宇药业	

SZ002674	兴业科技	

SH600741	华域汽车	

SZ000088	盐 田 港	

SH600502	安徽水利	

SH601218	吉鑫科技	

SH601636	旗滨集团	

SZ002445	中南重工	

SZ300015	爱尔眼科	

SH600220	江苏阳光	

SZ300140	启源装备	

SZ000585	东北电气	

SH600843	上工申贝	

SZ000601	韶能股份	

SH600653	申华控股	

SH601007	金陵饭店	

SZ000713	丰乐种业	

SZ002460	赣锋锂业	

SH600597	光明乳业	

SH600123	兰花科创	

SZ002369	卓翼科技	

SZ002653	海思科		

SZ300208	恒顺电气	

SZ000558	莱茵置业	

SH600868	梅雁吉祥	

SZ002275	桂林三金	

SH603003	龙宇燃油	

SZ000685	中山公用	

SH600398	凯诺科技	

SZ000899	赣能股份	

SH600438	通威股份	

SH600798	宁波海运	

SH600127	金健米业	

SZ000981	银亿股份	

SH600428	中远航运	

SZ002186	全 聚 德	

SZ002061	江山化工	

SH600515	海岛建设	

SH600249	两面针		

SH600382	广东明珠	

SZ000756	新华制药	

